case_id,title,correlation_type,status,source,result_summary
51,"DOW-UAP-D33, Mission Report, Greece, October 2023",meteor_fireball,fetched,"NASA/JPL CNEOS Fireball API","NASA/JPL CNEOS Fireball API: 1 located fireball(s) in +/-1 day global window. Examples: 2023-10-26 08:58:24 lat=45.9 lon=174.8"
52,"DOW-UAP-D35, Mission Report, Greece, October 2023",meteor_fireball,fetched,"NASA/JPL CNEOS Fireball API","NASA/JPL CNEOS Fireball API: no located fireballs in +/-1 day global window."
53,"DOW-UAP-D38, Range Fouler Debrief, Middle East, May 2020",meteor_fireball,fetched,"NASA/JPL CNEOS Fireball API","NASA/JPL CNEOS Fireball API: no located fireballs in +/-1 day global window."
55,"DOW-UAP-D42, Range Fouler Debrief, Japan, 2023",meteor_fireball,fetched,"NASA/JPL CNEOS Fireball API","NASA/JPL CNEOS Fireball API: 1 located fireball(s) in +/-1 day global window. Examples: 2020-08-30 16:08:21 lat=26.0 lon=133.5"
56,"DOW-UAP-D44, Range Fouler Reporting Form, Gulf of Aden, October 2020",meteor_fireball,fetched,"NASA/JPL CNEOS Fireball API","NASA/JPL CNEOS Fireball API: no located fireballs in +/-1 day global window."
57,"DOW-UAP-D48, Department of the Air Force Report, 1996",meteor_fireball,fetched,"NASA/JPL CNEOS Fireball API","NASA/JPL CNEOS Fireball API: no located fireballs in +/-1 day global window."
58,"DOW-UAP-D49, Launch Summary, Vandenberg AFB, 2000",meteor_fireball,fetched,"NASA/JPL CNEOS Fireball API","NASA/JPL CNEOS Fireball API: no located fireballs in +/-1 day global window."
60,"DOW-UAP-D50, Email Correspondence, INDOPACOM, April 2025",meteor_fireball,fetched,"NASA/JPL CNEOS Fireball API","NASA/JPL CNEOS Fireball API: no located fireballs in +/-1 day global window."
61,"DOW-UAP-D51, Email Correspondence, Pacific Time Zone, March 2023",meteor_fireball,fetched,"NASA/JPL CNEOS Fireball API","NASA/JPL CNEOS Fireball API: 1 located fireball(s) in +/-1 day global window. Examples: 2026-03-23 19:23:43 lat=54.6 lon=144.1"
62,"DOW-UAP-D52, Email Correspondance, NA, August 2024",meteor_fireball,fetched,"NASA/JPL CNEOS Fireball API","NASA/JPL CNEOS Fireball API: no located fireballs in +/-1 day global window."
64,"DOW-UAP-D55, Mission Report, Syria, November 2016",meteor_fireball,fetched,"NASA/JPL CNEOS Fireball API","NASA/JPL CNEOS Fireball API: no located fireballs in +/-1 day global window."
65,"DOW-UAP-D56, Range Fouler Debrief, Arabian Sea, August 2020",meteor_fireball,fetched,"NASA/JPL CNEOS Fireball API","NASA/JPL CNEOS Fireball API: no located fireballs in +/-1 day global window."
66,"DOW-UAP-D57, Range Fouler Reporting Form, Gulf of Aden, September 2020",meteor_fireball,fetched,"NASA/JPL CNEOS Fireball API","NASA/JPL CNEOS Fireball API: no located fireballs in +/-1 day global window."
67,"DOW-UAP-D58, Range Fouler Debrief, NA, October 2020",meteor_fireball,fetched,"NASA/JPL CNEOS Fireball API","NASA/JPL CNEOS Fireball API: 1 located fireball(s) in +/-1 day global window. Examples: 2020-10-26 15:07:09 lat=5.9 lon=160.4"
69,"DOW-UAP-D60, Mission Report, Arabian Gulf, August 2020",meteor_fireball,fetched,"NASA/JPL CNEOS Fireball API","NASA/JPL CNEOS Fireball API: no located fireballs in +/-1 day global window."
70,"DOW-UAP-D61, Mission Report, Arabian Gulf, August 2020",meteor_fireball,fetched,"NASA/JPL CNEOS Fireball API","NASA/JPL CNEOS Fireball API: no located fireballs in +/-1 day global window."
71,"DOW-UAP-D62, Mission Report, Strait of Hormuz, September 2020",meteor_fireball,fetched,"NASA/JPL CNEOS Fireball API","NASA/JPL CNEOS Fireball API: no located fireballs in +/-1 day global window."
72,"DOW-UAP-D63, Mission Report, Strait of Hormuz, October 2020",meteor_fireball,fetched,"NASA/JPL CNEOS Fireball API","NASA/JPL CNEOS Fireball API: no located fireballs in +/-1 day global window."
73,"DOW-UAP-D64, Mission Report, Iran, November 2020",meteor_fireball,fetched,"NASA/JPL CNEOS Fireball API","NASA/JPL CNEOS Fireball API: no located fireballs in +/-1 day global window."
74,"DOW-UAP-D65, Mission Report, Arabian Gulf, July 2020",meteor_fireball,fetched,"NASA/JPL CNEOS Fireball API","NASA/JPL CNEOS Fireball API: no located fireballs in +/-1 day global window."
76,"DOW-UAP-D74, Mission Report, Syria, November 2023",meteor_fireball,fetched,"NASA/JPL CNEOS Fireball API","NASA/JPL CNEOS Fireball API: no located fireballs in +/-1 day global window."
77,"DOW-UAP-D75, Mission Report, Gulf of Aden, July 2024",meteor_fireball,fetched,"NASA/JPL CNEOS Fireball API","NASA/JPL CNEOS Fireball API: 1 located fireball(s) in +/-1 day global window. Examples: 2024-07-13 03:10:41 lat=7.4 lon=41.0"
107,"FBI Photo A1",meteor_fireball,not_queryable,"NASA/JPL CNEOS Fireball API","Fireball lookup not fetched: vague_date."
108,"FBI Photo A2",meteor_fireball,not_queryable,"NASA/JPL CNEOS Fireball API","Fireball lookup not fetched: vague_date."
109,"FBI Photo A3",meteor_fireball,not_queryable,"NASA/JPL CNEOS Fireball API","Fireball lookup not fetched: vague_date."
110,"FBI Photo A4",meteor_fireball,not_queryable,"NASA/JPL CNEOS Fireball API","Fireball lookup not fetched: vague_date."
111,"FBI Photo A5",meteor_fireball,not_queryable,"NASA/JPL CNEOS Fireball API","Fireball lookup not fetched: vague_date."
112,"FBI Photo A6",meteor_fireball,not_queryable,"NASA/JPL CNEOS Fireball API","Fireball lookup not fetched: vague_date."
113,"FBI Photo A7",meteor_fireball,not_queryable,"NASA/JPL CNEOS Fireball API","Fireball lookup not fetched: vague_date."
114,"FBI Photo A8",meteor_fireball,not_queryable,"NASA/JPL CNEOS Fireball API","Fireball lookup not fetched: vague_date."
115,"FBI Photo B1",meteor_fireball,not_queryable,"NASA/JPL CNEOS Fireball API","Fireball lookup not fetched: vague_date."
116,"FBI Photo B10",meteor_fireball,not_queryable,"NASA/JPL CNEOS Fireball API","Fireball lookup not fetched: vague_date."
117,"FBI Photo B11",meteor_fireball,not_queryable,"NASA/JPL CNEOS Fireball API","Fireball lookup not fetched: vague_date."
118,"FBI Photo B12",meteor_fireball,not_queryable,"NASA/JPL CNEOS Fireball API","Fireball lookup not fetched: vague_date."
119,"FBI Photo B13",meteor_fireball,not_queryable,"NASA/JPL CNEOS Fireball API","Fireball lookup not fetched: vague_date."
120,"FBI Photo B14",meteor_fireball,not_queryable,"NASA/JPL CNEOS Fireball API","Fireball lookup not fetched: vague_date."
121,"FBI Photo B15",meteor_fireball,not_queryable,"NASA/JPL CNEOS Fireball API","Fireball lookup not fetched: vague_date."
122,"FBI Photo B16",meteor_fireball,not_queryable,"NASA/JPL CNEOS Fireball API","Fireball lookup not fetched: vague_date."
123,"FBI Photo B17",meteor_fireball,not_queryable,"NASA/JPL CNEOS Fireball API","Fireball lookup not fetched: vague_date."
124,"FBI Photo B18",meteor_fireball,not_queryable,"NASA/JPL CNEOS Fireball API","Fireball lookup not fetched: vague_date."
125,"FBI Photo B19",meteor_fireball,not_queryable,"NASA/JPL CNEOS Fireball API","Fireball lookup not fetched: vague_date."
126,"FBI Photo B2",meteor_fireball,not_queryable,"NASA/JPL CNEOS Fireball API","Fireball lookup not fetched: vague_date."
127,"FBI Photo B20",meteor_fireball,not_queryable,"NASA/JPL CNEOS Fireball API","Fireball lookup not fetched: vague_date."
128,"FBI Photo B21",meteor_fireball,not_queryable,"NASA/JPL CNEOS Fireball API","Fireball lookup not fetched: vague_date."
129,"FBI Photo B22",meteor_fireball,not_queryable,"NASA/JPL CNEOS Fireball API","Fireball lookup not fetched: vague_date."
130,"FBI Photo B23",meteor_fireball,not_queryable,"NASA/JPL CNEOS Fireball API","Fireball lookup not fetched: vague_date."
131,"FBI Photo B24",meteor_fireball,not_queryable,"NASA/JPL CNEOS Fireball API","Fireball lookup not fetched: vague_date."
132,"FBI Photo B3",meteor_fireball,not_queryable,"NASA/JPL CNEOS Fireball API","Fireball lookup not fetched: vague_date."
133,"FBI Photo B4",meteor_fireball,not_queryable,"NASA/JPL CNEOS Fireball API","Fireball lookup not fetched: vague_date."
134,"FBI Photo B5",meteor_fireball,not_queryable,"NASA/JPL CNEOS Fireball API","Fireball lookup not fetched: vague_date."
135,"FBI Photo B6",meteor_fireball,not_queryable,"NASA/JPL CNEOS Fireball API","Fireball lookup not fetched: vague_date."
136,"FBI Photo B7",meteor_fireball,not_queryable,"NASA/JPL CNEOS Fireball API","Fireball lookup not fetched: vague_date."
137,"FBI Photo B8",meteor_fireball,not_queryable,"NASA/JPL CNEOS Fireball API","Fireball lookup not fetched: vague_date."
138,"FBI Photo B9",meteor_fireball,not_queryable,"NASA/JPL CNEOS Fireball API","Fireball lookup not fetched: vague_date."
139,"NASA-UAP-D1, Apollo 12 Transcript, 1969",meteor_fireball,not_queryable,"NASA/JPL CNEOS Fireball API","Fireball lookup not fetched: year_only."
140,"NASA-UAP-D2, Apollo 17 Transcript, 1972",meteor_fireball,not_queryable,"NASA/JPL CNEOS Fireball API","Fireball lookup not fetched: year_only."
141,"NASA-UAP-D4, Apollo 11 Technical Crew Debriefing, 1969",meteor_fireball,not_queryable,"NASA/JPL CNEOS Fireball API","Fireball lookup not fetched: year_only."
142,"NASA-UAP-D5, Apollo 17 Crew Debriefing for Science, 1973",meteor_fireball,not_queryable,"NASA/JPL CNEOS Fireball API","Fireball lookup not fetched: year_only."
143,"NASA-UAP-D6, Apollo 17 Technical Crew Debriefing, 1973",meteor_fireball,not_queryable,"NASA/JPL CNEOS Fireball API","Fireball lookup not fetched: year_only."
144,"NASA-UAP-D7, Skylab Techincal Crew Debriefing 1973",meteor_fireball,not_queryable,"NASA/JPL CNEOS Fireball API","Fireball lookup not fetched: year_only."
145,"NASA-UAP-VM1, Apollo 12, 1969",meteor_fireball,not_queryable,"NASA/JPL CNEOS Fireball API","Fireball lookup not fetched: year_only."
146,"NASA-UAP-VM2, Apollo 12, 1969",meteor_fireball,not_queryable,"NASA/JPL CNEOS Fireball API","Fireball lookup not fetched: year_only."
147,"NASA-UAP-VM3, Apollo 12, 1969",meteor_fireball,not_queryable,"NASA/JPL CNEOS Fireball API","Fireball lookup not fetched: year_only."
148,"NASA-UAP-VM4, Apollo 12, 1969",meteor_fireball,not_queryable,"NASA/JPL CNEOS Fireball API","Fireball lookup not fetched: year_only."
149,"NASA-UAP-VM5, Apollo 12, 1969",meteor_fireball,not_queryable,"NASA/JPL CNEOS Fireball API","Fireball lookup not fetched: year_only."
150,"NASA-UAP-VM6, Apollo 17, 1972",meteor_fireball,not_queryable,"NASA/JPL CNEOS Fireball API","Fireball lookup not fetched: year_only."
151,"State Department UAP Cable 1, Papua New Guinea, January 28, 1985",meteor_fireball,fetched,"NASA/JPL CNEOS Fireball API","NASA/JPL CNEOS Fireball API: no located fireballs in +/-1 day global window."
152,"State Department UAP Cable 2, Kazakhstan, January 31, 1994",meteor_fireball,fetched,"NASA/JPL CNEOS Fireball API","NASA/JPL CNEOS Fireball API: no located fireballs in +/-1 day global window."
153,"State Department UAP Cable 3, Tbilisi, Georgia, October 30, 2001",meteor_fireball,fetched,"NASA/JPL CNEOS Fireball API","NASA/JPL CNEOS Fireball API: 1 located fireball(s) in +/-1 day global window. Examples: 2001-10-27 19:20:12 lat=52.7 lon=3.8"
154,"State Department UAP Cable 4, Ashgabat, Turkmenistan, November 5, 2004",meteor_fireball,fetched,"NASA/JPL CNEOS Fireball API","NASA/JPL CNEOS Fireball API: no located fireballs in +/-1 day global window."
155,"State Department UAP Cable 5, Mexico, September 16, 2003",meteor_fireball,fetched,"NASA/JPL CNEOS Fireball API","NASA/JPL CNEOS Fireball API: no located fireballs in +/-1 day global window."
156,"USPER Statement about UAP Sighting",meteor_fireball,not_queryable,"NASA/JPL CNEOS Fireball API","Fireball lookup not fetched: vague_date."
157,"FBI September 2023 Sighting - Composite Sketch",meteor_fireball,fetched,"NASA/JPL CNEOS Fireball API","NASA/JPL CNEOS Fireball API: no located fireballs in +/-1 day global window."
158,"FBI September 2023 Sighting - Serial 3",meteor_fireball,fetched,"NASA/JPL CNEOS Fireball API","NASA/JPL CNEOS Fireball API: no located fireballs in +/-1 day global window."
159,"FBI September 2023 Sighting - Serial 4",meteor_fireball,fetched,"NASA/JPL CNEOS Fireball API","NASA/JPL CNEOS Fireball API: no located fireballs in +/-1 day global window."
160,"FBI September 2023 Sighting - Serial 5",meteor_fireball,fetched,"NASA/JPL CNEOS Fireball API","NASA/JPL CNEOS Fireball API: no located fireballs in +/-1 day global window."
161,"Western US Event",meteor_fireball,not_queryable,"NASA/JPL CNEOS Fireball API","Fireball lookup not fetched: year_only."
17,"18_100754_ General 1946-7_Vol_2",military_notam_training_flares_drones,not_queryable_public_historical_source_missing,"public NOTAM/training-source candidate","Not fetched: requires historical NOTAM/training/flares/drone range data, exact time/location, and often restricted military sources."
18,18_6369445_General_1948_Vol_1,military_notam_training_flares_drones,not_queryable_public_historical_source_missing,"public NOTAM/training-source candidate","Not fetched: requires historical NOTAM/training/flares/drone range data, exact time/location, and often restricted military sources."
20,"NASA-UAP-D3, Gemini 7 Transcript, 1965",military_notam_training_flares_drones,not_queryable_public_historical_source_missing,"public NOTAM/training-source candidate","Not fetched: requires historical NOTAM/training/flares/drone range data, exact time/location, and often restricted military sources."
21,"NASA-UAP-D3A, Gemini 7 Audio Excerpt, 1965",military_notam_training_flares_drones,not_queryable_public_historical_source_missing,"public NOTAM/training-source candidate","Not fetched: requires historical NOTAM/training/flares/drone range data, exact time/location, and often restricted military sources."
22,"331_120752_Numeric_Files_1944–1945_37153_German_Armament_Equipment_Documents",military_notam_training_flares_drones,not_queryable_public_historical_source_missing,"public NOTAM/training-source candidate","Not fetched: requires historical NOTAM/training/flares/drone range data, exact time/location, and often restricted military sources."
23,341_110448_Records_Relating_to_the_Collection_and_Dissemination_of_Intelligence_1948-1955-TS_CONT_No.2_2-5300-2-5399,military_notam_training_flares_drones,not_queryable_public_historical_source_missing,"public NOTAM/training-source candidate","Not fetched: requires historical NOTAM/training/flares/drone range data, exact time/location, and often restricted military sources."
24,"341_110677_Numerical_File,_5-2500",military_notam_training_flares_drones,not_queryable_public_historical_source_missing,"public NOTAM/training-source candidate","Not fetched: requires historical NOTAM/training/flares/drone range data, exact time/location, and often restricted military sources."
25,"342_HS1-416511228_319.1 Flying Discs 1949",military_notam_training_flares_drones,not_queryable_public_historical_source_missing,"public NOTAM/training-source candidate","Not fetched: requires historical NOTAM/training/flares/drone range data, exact time/location, and often restricted military sources."
29,"59_214434_SP 16 [7.18.1963]",military_notam_training_flares_drones,not_queryable_public_historical_source_missing,"public NOTAM/training-source candidate","Not fetched: requires historical NOTAM/training/flares/drone range data, exact time/location, and often restricted military sources."
30,59_64634_711.5612[7-2852,military_notam_training_flares_drones,not_queryable_public_historical_source_missing,"public NOTAM/training-source candidate","Not fetched: requires historical NOTAM/training/flares/drone range data, exact time/location, and often restricted military sources."
31,65_HS1-101634279_100-DE-18221_Serial_844,military_notam_training_flares_drones,not_queryable_public_historical_source_missing,"public NOTAM/training-source candidate","Not fetched: requires historical NOTAM/training/flares/drone range data, exact time/location, and often restricted military sources."
32,65_HS1-101634279_100-DE-26505,military_notam_training_flares_drones,not_queryable_public_historical_source_missing,"public NOTAM/training-source candidate","Not fetched: requires historical NOTAM/training/flares/drone range data, exact time/location, and often restricted military sources."
35,"DOW-UAP-D10, Mission Report, Middle East, May 2022",military_notam_training_flares_drones,not_queryable_public_historical_source_missing,"public NOTAM/training-source candidate","Not fetched: requires historical NOTAM/training/flares/drone range data, exact time/location, and often restricted military sources."
36,"DOW-UAP-D12, Mission Report, Iraq, May 2022",military_notam_training_flares_drones,not_queryable_public_historical_source_missing,"public NOTAM/training-source candidate","Not fetched: requires historical NOTAM/training/flares/drone range data, exact time/location, and often restricted military sources."
37,"DOW-UAP-D14, Mission Report, Iraq, May 2022",military_notam_training_flares_drones,not_queryable_public_historical_source_missing,"public NOTAM/training-source candidate","Not fetched: requires historical NOTAM/training/flares/drone range data, exact time/location, and often restricted military sources."
38,"DOW-UAP-D16, Mission Report, Syria, July 2022",military_notam_training_flares_drones,not_queryable_public_historical_source_missing,"public NOTAM/training-source candidate","Not fetched: requires historical NOTAM/training/flares/drone range data, exact time/location, and often restricted military sources."
39,"DOW-UAP-D18, Mission Report, Iraq, December 2022",military_notam_training_flares_drones,not_queryable_public_historical_source_missing,"public NOTAM/training-source candidate","Not fetched: requires historical NOTAM/training/flares/drone range data, exact time/location, and often restricted military sources."
40,"DOW-UAP-D19, Mission Report, Syria, February 21, 2023",military_notam_training_flares_drones,not_queryable_public_historical_source_missing,"public NOTAM/training-source candidate","Not fetched: requires historical NOTAM/training/flares/drone range data, exact time/location, and often restricted military sources."
41,"DOW-UAP-D20, Mission Report, Iraq, 2023",military_notam_training_flares_drones,not_queryable_public_historical_source_missing,"public NOTAM/training-source candidate","Not fetched: requires historical NOTAM/training/flares/drone range data, exact time/location, and often restricted military sources."
42,"DOW-UAP-D23, Mission Report, United Arab Emirates, October 2023",military_notam_training_flares_drones,not_queryable_public_historical_source_missing,"public NOTAM/training-source candidate","Not fetched: requires historical NOTAM/training/flares/drone range data, exact time/location, and often restricted military sources."
43,"DOW-UAP-D23, Mission Report, United Arab Emirates, October 2023",military_notam_training_flares_drones,not_queryable_public_historical_source_missing,"public NOTAM/training-source candidate","Not fetched: requires historical NOTAM/training/flares/drone range data, exact time/location, and often restricted military sources."
44,"DOW-UAP-D25, Mission Report, Greece, January 2024",military_notam_training_flares_drones,not_queryable_public_historical_source_missing,"public NOTAM/training-source candidate","Not fetched: requires historical NOTAM/training/flares/drone range data, exact time/location, and often restricted military sources."
45,"DOW-UAP-D27, Mission Report, United Arab Emirates, October 2023",military_notam_training_flares_drones,not_queryable_public_historical_source_missing,"public NOTAM/training-source candidate","Not fetched: requires historical NOTAM/training/flares/drone range data, exact time/location, and often restricted military sources."
46,"DOW-UAP-D28, Mission Report, Iraq, September 2024",military_notam_training_flares_drones,not_queryable_public_historical_source_missing,"public NOTAM/training-source candidate","Not fetched: requires historical NOTAM/training/flares/drone range data, exact time/location, and often restricted military sources."
48,"DOW-UAP-D32, Mission Report, Syria, October 2024",military_notam_training_flares_drones,not_queryable_public_historical_source_missing,"public NOTAM/training-source candidate","Not fetched: requires historical NOTAM/training/flares/drone range data, exact time/location, and often restricted military sources."
49,"DOW-UAP-D32, Mission Report, Syria, October 2024",military_notam_training_flares_drones,not_queryable_public_historical_source_missing,"public NOTAM/training-source candidate","Not fetched: requires historical NOTAM/training/flares/drone range data, exact time/location, and often restricted military sources."
50,"DOW-UAP-D32, Mission Report, Syria, October 2024",military_notam_training_flares_drones,not_queryable_public_historical_source_missing,"public NOTAM/training-source candidate","Not fetched: requires historical NOTAM/training/flares/drone range data, exact time/location, and often restricted military sources."
51,"DOW-UAP-D33, Mission Report, Greece, October 2023",military_notam_training_flares_drones,not_queryable_public_historical_source_missing,"public NOTAM/training-source candidate","Not fetched: requires historical NOTAM/training/flares/drone range data, exact time/location, and often restricted military sources."
52,"DOW-UAP-D35, Mission Report, Greece, October 2023",military_notam_training_flares_drones,not_queryable_public_historical_source_missing,"public NOTAM/training-source candidate","Not fetched: requires historical NOTAM/training/flares/drone range data, exact time/location, and often restricted military sources."
53,"DOW-UAP-D38, Range Fouler Debrief, Middle East, May 2020",military_notam_training_flares_drones,not_queryable_public_historical_source_missing,"public NOTAM/training-source candidate","Not fetched: requires historical NOTAM/training/flares/drone range data, exact time/location, and often restricted military sources."
55,"DOW-UAP-D42, Range Fouler Debrief, Japan, 2023",military_notam_training_flares_drones,not_queryable_public_historical_source_missing,"public NOTAM/training-source candidate","Not fetched: requires historical NOTAM/training/flares/drone range data, exact time/location, and often restricted military sources."
56,"DOW-UAP-D44, Range Fouler Reporting Form, Gulf of Aden, October 2020",military_notam_training_flares_drones,not_queryable_public_historical_source_missing,"public NOTAM/training-source candidate","Not fetched: requires historical NOTAM/training/flares/drone range data, exact time/location, and often restricted military sources."
57,"DOW-UAP-D48, Department of the Air Force Report, 1996",military_notam_training_flares_drones,not_queryable_public_historical_source_missing,"public NOTAM/training-source candidate","Not fetched: requires historical NOTAM/training/flares/drone range data, exact time/location, and often restricted military sources."
58,"DOW-UAP-D49, Launch Summary, Vandenberg AFB, 2000",military_notam_training_flares_drones,not_queryable_public_historical_source_missing,"public NOTAM/training-source candidate","Not fetched: requires historical NOTAM/training/flares/drone range data, exact time/location, and often restricted military sources."
60,"DOW-UAP-D50, Email Correspondence, INDOPACOM, April 2025",military_notam_training_flares_drones,not_queryable_public_historical_source_missing,"public NOTAM/training-source candidate","Not fetched: requires historical NOTAM/training/flares/drone range data, exact time/location, and often restricted military sources."
61,"DOW-UAP-D51, Email Correspondence, Pacific Time Zone, March 2023",military_notam_training_flares_drones,not_queryable_public_historical_source_missing,"public NOTAM/training-source candidate","Not fetched: requires historical NOTAM/training/flares/drone range data, exact time/location, and often restricted military sources."
62,"DOW-UAP-D52, Email Correspondance, NA, August 2024",military_notam_training_flares_drones,not_queryable_public_historical_source_missing,"public NOTAM/training-source candidate","Not fetched: requires historical NOTAM/training/flares/drone range data, exact time/location, and often restricted military sources."
64,"DOW-UAP-D55, Mission Report, Syria, November 2016",military_notam_training_flares_drones,not_queryable_public_historical_source_missing,"public NOTAM/training-source candidate","Not fetched: requires historical NOTAM/training/flares/drone range data, exact time/location, and often restricted military sources."
65,"DOW-UAP-D56, Range Fouler Debrief, Arabian Sea, August 2020",military_notam_training_flares_drones,not_queryable_public_historical_source_missing,"public NOTAM/training-source candidate","Not fetched: requires historical NOTAM/training/flares/drone range data, exact time/location, and often restricted military sources."
66,"DOW-UAP-D57, Range Fouler Reporting Form, Gulf of Aden, September 2020",military_notam_training_flares_drones,not_queryable_public_historical_source_missing,"public NOTAM/training-source candidate","Not fetched: requires historical NOTAM/training/flares/drone range data, exact time/location, and often restricted military sources."
67,"DOW-UAP-D58, Range Fouler Debrief, NA, October 2020",military_notam_training_flares_drones,not_queryable_public_historical_source_missing,"public NOTAM/training-source candidate","Not fetched: requires historical NOTAM/training/flares/drone range data, exact time/location, and often restricted military sources."
69,"DOW-UAP-D60, Mission Report, Arabian Gulf, August 2020",military_notam_training_flares_drones,not_queryable_public_historical_source_missing,"public NOTAM/training-source candidate","Not fetched: requires historical NOTAM/training/flares/drone range data, exact time/location, and often restricted military sources."
