corroboration_id,case_id,feature_key,claim_count,page_count,direct_claim_count,possible_independent_count,source_pages_json,representative_quotes_json,machine_corroboration_score,status
83,25,motion:moving,6,5,2,0,"[14, 48, 55, 110, 137]","[""The unidentified object wes cescribed by the witnesses ss round, fairly large, grey, moving in a northeasterly cirection at an undetermined was estimated to be 5000 feet or less."", ""The maneuversbility is not known, but it appeared to be moving et a constant speed and altitude."", ""Classification of SRE D Bud ; fom a Ltr to CG MATS fr Hq, 2143d AW, Subj: \""Semi-Monthly Intelligence Summary™ moving from east north east to west south west at an estimated speed of 4200 miles per hour, this speed was determined by means of triangula"", ""HERRING, was first S_6| observed abovo Anton Larson Bay, (See Enclosure (A)), moving from West to Gast on 38 @ course that approximately paralleled the East~-ivest runways of the U.S."", ""Speed of movins objects: Observers are constantly required to estimate the spped of moving aircraft in the course of their normal duties.""]",1.0,machine_correlated_needs_human_review
89,25,motion:stationary,4,4,0,0,"[40, 124, 126, 128]","[""How attention was drawn to objects: Directly in flight path, (1) Sound: Unknown (2) Motion: Stationary (3) Glint of light: Glint of light on canopye 9, Witnesses: None 10."", ""Sizes undetermined 8 Direction of flight: Appeared te be stationary 9 Tactics or maneuvers: Tone 10, Bvidence of exhaust: Tone ."", ""Propulsion: Object appeared to be stationary, &."", ""Place of Business: USAF S- Hobbies: Net applicable 6, Ability to determine: Unknown Te Reliability of observer: We opinion 8 Yebes relative to observer on & Sightings in general: None be dow ationtion was drawn to objects: Directly jn Plight Path -(1""]",1.0,machine_correlated_needs_human_review
82,25,sensor:eo,5,4,0,0,"[7, 16, 58, 101]","[""Comments ef tnbterrosator re intellicence « oharacter ; Pon interrocateds o opinion eo Ma AL i tnt Mtn tenet is ® radars now operating on crounds radar sichtings Ze Tf airborre, when object was « beds st aoplisable 3 aS ecenneinastaapenn> : os 2 * sa"", ""Gs aloft reports EO degrees « 4 nots Oe Local flight Sehedules of commercial, private and miiitary aire raft flivying invvicinity at the times ninown Se misibility releases of stin evices in vicinity sent aloft trey ~ ih * Ort 4 — ."", ""4 PS Pe eo a ree 2 Kay EEE wwe @ RESTRICTED ® RR ee BO Been bed TCM 452 28 July 1949 SUBJECT: Unidentified Flying Objects (5) Speed: Much faster than a B29."", ""© 3 eo aX > Sn fd At OA, qe » Li 2, CTPTCTRD® ins | LS = reac Rie ease, ) é Carswell Air Foree Base Port Serth, Texas ¥OG: lwb Pw 319.1 14 April 1949 CBJECTs Report of Unidentified Flying Objects TOs Commanding Genersl Air Materiel Command Wright-Pat"", ""2 F TRAJECTORY TO 1500'F ae hi oO SS Baaly | a 10g & S i cs Sy “ee é a ane j eee j ae S be Gs Me, - co x OM eee Go ef ESTIMATED ZOO MPH Viciniry Mae | “ ue eo < % fi, CS ee a tt Gs se: ot 5 a ie 4, Mg a oe aes ¥ Z | | vias ; ye : : < ‘S) COPsTRer vA ""]",1.0,machine_correlated_needs_human_review
90,25,sensor:radar,8,4,0,0,"[40, 46, 111, 128]","[""Comments of interrogator re intelligence and character of person interrogated: lio opinion, 1, Re radars now operating on ground: No radar sightings."", ""During a test hop of an RB 29, a radar operator from the 514th Reconnaissance Squadron (VLR) Weather, made the following observationg/ and reports orth."", ""The radar gx was turned on at approximately 1515K and was tuned in."", ""Guam and Rotav¥Vwere picked up by radar and after about ten (10) minutes of operation some type of interference was noticed on the scope."", ""most experienced radar operators and is very proficient in the operation of radar equipment.""]",1.0,machine_correlated_needs_human_review
94,25,shape:disc,19,13,1,1,"[75, 77, 91, 92, 93, 94, 95, 97, 116, 121, 130, 131, 142]","[""In accordance with Restricted letter, Headquarters, 2108th Air Weather Group, subject: Report on Information on \""Flying Discs\"", dated 24, March 1948, the following report is submitted."", ""3- Captain McBride stated that the first object, which appeared to be a disc, was sighted at 1630 on 6 February 1949 at 12 degrees 30 minutes north latitude, 81 degrees 10 minutes west latitude, in the close vicinity of the San Andres Islands."", ""However, since no objects were seen to be attached to the discs, it seems improbable that a radiosonde train might have beer!"", ""1 SUBJECT: $i ehting of \""Flying Discs\"" A strong possibility exists that the \""flying disc\"" might have been a piece of cardboard, or light metallic substance carried aloft by the funneled air currents over Hickam."", ""@ 6 ATRWAYS AND AIR COMMUNICATIONS SERVICE HEADQUARTERS, 1810th AACS GROUP APO 953, c/o PM, San Francisco, California C-1/be AACS 350.09 8 January 1949 SUBJECT: Sighting of \""Flying Disc\"" THRU: Commanding Officer J 1808th AACS Wing APO 925, c/o PM San""]",1.0,machine_correlated_needs_human_review
80,25,shape:light,20,14,1,0,"[1, 26, 29, 40, 57, 63, 85, 100, 105, 106, 107, 112, 115, 128]","[""They ap- peared to be the size of old fashioned street lights about two blocks a distant."", ""ey + « ® «ar oe SUBJECT: Unidentified Plying Yb jects Captain Thrush, the pilot of a Northwest Airline Mertin 202, reported that while epproaching Portland from the east he noticed what appeared tobe an aircraft displaying two ved lights and one whit"", ""His sighting of this object was at 2110 at an altitude of six (6) thousand feet and he was espproximately five (5) miles west of Stevenson, Washington, He reported that the object was behind hii end slightly to the left and maintained thet same posit"", ""Clark reported the surface seemed to be between a light gray and a dirty white with no markings or diffusion of colors (S) Speeds Paster than an FP=-5]."", ""How attention was drawn to objects: Directly in flight path, (1) Sound: Unknown (2) Motion: Stationary (3) Glint of light: Glint of light on canopye 9, Witnesses: None 10.""]",1.0,machine_correlated_needs_human_review
79,25,shape:object,209,70,9,3,"[1, 4, 6, 7, 9, 10, 11, 12, 14, 15, 16, 18, 19, 20, 25, 26, 28, 29, 30, 35, 36, 37, 38, 40, 41, 55, 56, 58, 65, 75, 77, 79, 80, 83, 85, 90, 91, 92, 93, 99, 100, 101, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 115, 116, 117, 121, 122, 124, 126, 128, 130, 132, 133, 134, 136, 137, 139, 140, 141]","[""Pieces Se) LOWRY FLIGHT SERVICE CENTER © GRR/ wie Authority: LOWRY AIR FORCE BASE : DENVER, COLORADO RY 319.1 9 January 1950 SUBJECT: Unidentified Flying Objects ‘\\ ae : 4ir Materiel Command ey Wright-Patterson Aix Force Base, Ohio oor 1."", ""Im compliance with Flight Service Regulation 200-4, dated 2 November 1948, Subject: “Unidentified Flying Objects,\"" the follow ing report is submitted."", ""On the night of 6 January 1950, two objects were sighted over Kansas City, Kansas, and Olathe, Kansas."", ""‘Two objects were sighted, both spherical in shape."", ""Subj: hidentified Plying Objeates : (3) Clock position of object from observer's aircraft: .""]",1.0,machine_correlated_needs_human_review
85,25,color_brightness:red,3,3,0,0,"[26, 63, 124]","[""His sighting of this object was at 2110 at an altitude of six (6) thousand feet and he was espproximately five (5) miles west of Stevenson, Washington, He reported that the object was behind hii end slightly to the left and maintained thet same posit"", ""pent \\ é L le , 4 » UNIDENTIFIED OBJECT SIGHTED THAT STATION ONE NINE FIVE ZERO ZERO ZEBRA ONE EIGHT MARCH FOUR NINE CMA OBJECT DISPLAY:D RED LIGHT SAME AS ACFT CMA APPROX ONE ZERO THOUSAND FEET ALT PD ESTIMATED SPEED TWO HUNDRED MILES PER HOUR PD DI"", ""Appearance of object: | ae Color: Red to Blue to Red be Shapes Resexbled to parachute flare Ge Apparent construction: wo opinion 4.""]",0.75,machine_correlated_needs_human_review
88,25,color_brightness:dark,2,2,1,0,"[29, 30]","[""The leading edge of this dark circular atructure was approximately one-fourth (1/4) the distance from the apex of the delta wing to the rear, This dark circular structure was noted at the time Mr, Clark was below the objects."", ""Clark was cruising at tem (10) thousand feet at this time, He observed the formation until it made the one hundred and eighty (180) degree turn at which time Mr, Clark G@escended in his aircraft and made a ninety (90) degree turn to the left in an ef""]",0.7,machine_correlated_needs_human_review
86,25,sensor:ir,2,2,0,0,"[26, 35]","[""Captain Thrush reported that his indicated airspeed was two hundred and ten (210) miles per hour while he was trying to intercept ir."", ""WRIGHT-PATTE IR A ; a “, - ~ @9- dune I9h9 SUBJECT: Report ef Unidentified Flying O>ject TOs Camaending General \\ fir Materiel Command : Wright-Patterson AY Base, Ohio ATTHs wCIAXKO— 3 The follewing repert of an unidentified flying ebject is submitte""]",0.5,machine_correlated_needs_human_review
97,25,shape:cylinder,1,1,1,0,[107],"["":Rotatine cylinder or cone: No cylinder or cone was observed.""]",0.45,weak_machine_group
92,25,color_brightness:blue,1,1,0,0,[55],"[""HERRING, he saw a flaming greenish- i blue object plummet across the sky at an altitude of 2,500 feet at an estimated j speed of 1,600 miles per hour.""]",0.25,weak_machine_group
96,25,color_brightness:green,1,1,0,0,[80],"[""‘Traced on Theodolite, Object appeared to be rotating with green, yellow and red colors.""]",0.25,weak_machine_group
98,25,motion:turning,1,1,0,0,[117],"[""Heading: West, turning to Soath te Southvest, 7.""]",0.25,weak_machine_group
99,25,sensor:helicopter,1,1,0,0,[133],"[""(9) Sound: Similier to a helicopter.""]",0.25,weak_machine_group
91,25,shape:orb,1,1,0,0,[53],"[""\\ ‘ <, < ey oes \\ <4 / < « } AX 40UU A € aass ‘ \\ f a \\ - one \\ fags 2 ae é p : \\ ——OfSshine Fesiden ie GY YCOALMAOIa Orb ) | Cie ~ hed yh | oo } Va PNCTOSIRY fa) mo O21 727 ee ee PHOTOSTATIC COPY OF A DRAWING MADE ‘ UNE NNLeIO SEX.""]",0.25,weak_machine_group
95,25,shape:sphere,1,1,0,0,[75],"[""As it passes directly over the ship, several officers described it as a round, silver-colored sphere.""]",0.25,weak_machine_group
87,25,shape:triangle,1,1,0,0,[28],"[""Clark was between thirty (30) and forty-five (45) degrees with the base of the triangle being a slightly curved convex, f,.""]",0.25,weak_machine_group
101,29,shape:light,5,2,0,0,"[4, 5]","[""This is normally written off as an extremely low probability, due to the tremendous distances be- tween stars, and the Einstein limitation on travel faster than the speed of light."", ""Or, for that matter, why is Uranus lying on its side?) Iam not sure that this travel restriction is quite as infallible as it sounds, I believe that it is possible with what we now know about nuclear energy to envision ships driven at half to three-q"", ""This, since the galaxy is 100,000 light-years across, still does not make a search of the entire galaxy feasible within the life span of the average man, But suppose some race under pressure of population explosion were expanding as fast as technical"", ""If their ships averaged half the speed of light, and if, on the average, they stopped every 10 light-years for a twenty-year stay ata stellar system to deposit colonists, refuel, and build extra ships, they would only take two hundred thousand years,"", ""Fortunately, travel time restrictions would inhibit their ability to bring all forces to bear, in case we should develop differences of viewpoint, The third possibility, scientifically abhorrent, is that the Einstein theory may only be an approximati""]",0.8,machine_correlated_needs_human_review
100,29,color_brightness:hot,1,1,0,0,[3],"[""(1) The discovery of hot gasses eminating from the crater Alphonsus when the moon was supposedly dead.""]",0.25,weak_machine_group
105,32,shape:object,3,3,1,0,"[12, 13, 14]","[""| 11/7/37 : AIRTEL | TO: DIRKCTOR, FBI | “iy we as ALL INPORMATION CONTAINED yy 0% PROM: SAC, DETROIT (100~26505) BEREIN_IS UNCLASSIFI ii ee | pigs | DATESQAY/ B _ UNIDENTIFIED FLYING OBJECTS; 15 = X, / Re Detroit Telet: se to Bureau, 11/7/57, captio"", ""FROM: SAC, DETROIT bio pe balk, UNIDENTIFIAD FLYING OBJECTS; Is - X, | REBUTEL NOV."", ""| Dear Sirs: | | ee My organization would appreciate any information that you could send us on Unidentified Flying Objects, specifically those sightings in | your area in early spring of this year.""]",0.95,machine_correlated_needs_human_review
102,32,color_brightness:dark,1,1,1,0,[10],"[""_—s«Phis vehicle, observed from approximately | 500 feet, was deseribed as circular in shape, 75 to 100 yards in diameter, and about 14 fect high, consisting of | dark gray stationary top and bottom sections, five to six : : feet high.""]",0.45,weak_machine_group
104,32,motion:moving,1,1,1,0,[10],"[""The approximate three foot middle section appeared to be a rapidly moving component producing a continuous blur | similar to an aeroplane propeller, but extending the cir~ | | cumferance of the vehicle so far as could be observed, The | if noise eman""]",0.45,weak_machine_group
103,32,motion:stationary,1,1,1,0,[10],"[""_—s«Phis vehicle, observed from approximately | 500 feet, was deseribed as circular in shape, 75 to 100 yards in diameter, and about 14 fect high, consisting of | dark gray stationary top and bottom sections, five to six : : feet high.""]",0.45,weak_machine_group
113,156,sensor:nvg,9,2,0,0,"[2, 3]","[""LP/OP reported the orb gained elevation, came within ten feet of [CALL SIGN 1] and then headed east _ nay [CALL SIGN 1] moved to intercept but LP/OP reported the orb continued southeast and estimated it to be past [ROAD NAME], some 20 miles from the "", ""At 2218 hours fi [CALL SIGN 1] remained at [COORDINATES] awaiting instructions when the pilots (NVG) and [WITNESS 1] (naked eye) spotting a swarm of lights (too many to count) moving in all directions but generally located west of a and headed south."", ""At approximately 2227 hours) (possible out of order), in proximity of [SITE CODE NAME] headed south, [WITNESS 1] (naked eye) and the pilots (NVG) spotted two large orbs appear in close proximity to [CALL SIGN 1] to the west and above the rotor disk."", ""At approximately 2228 hours ii [CALL SIGN 1] - [WITNESS 1] (naked eye) and the pilots (NVG) spotted four or five orbs (similar to the orbs that were in close proximity to the helicopter) appear to the west over the mountains above the [MILITARY AIRCR"", ""At approximately 2233 hours can SIGN 1] - [WITNESS 1] (naked eye) and the pilots (NVG) spotted a similar orb formation to the east in the direction of [NEARBY TOWN NAME].""]",1.0,machine_correlated_needs_human_review
106,156,shape:orb,21,3,1,0,"[1, 2, 3]","[""SEGREFTANOFORN On 2025, at approximately 1700 greet bee 1 (a senior US intelligence official)], [FEDERAL PARTNER 1] and [F L PARTNER 2], accompanied by [WITNESS 2 (a senior US intelligence official)|, and two pilots from [STATE PARTNER ORGANIZATION],"", ""LP/OP confirmed the sighting then relayed they spotted an orb under FLIR and described as “super-hot” hovering at ground level before heading bearing [iifrom LP/OP."", ""LP/OP reported the orb was heading east and then south at a high rate of speed and then broke into two objects."", ""Once on station, [CALL SIGN 1] searched the location with FLIR, NVG, and the naked eye but did not locate the orb."", ""LP/OP reported the orb gained elevation, came within ten feet of [CALL SIGN 1] and then headed east _ nay [CALL SIGN 1] moved to intercept but LP/OP reported the orb continued southeast and estimated it to be past [ROAD NAME], some 20 miles from the ""]",1.0,machine_correlated_needs_human_review
107,156,sensor:flir,4,3,0,0,"[1, 2, 3]","[""A second helicopter (STATE PARTNER ORGANIZATION] — [CALL SIGN 2]) briefly landed at [SITE CODE NAME] to await refueling but then lifted off and returned to the ill At 2141 hours [MM [CALL SIGN 1] lifted off from [SITE CODE NAME] and headed toward deb"", ""LP/OP confirmed the sighting then relayed they spotted an orb under FLIR and described as “super-hot” hovering at ground level before heading bearing [iifrom LP/OP."", ""Once on station, [CALL SIGN 1] searched the location with FLIR, NVG, and the naked eye but did not locate the orb."", ""[WITNESS 1] Comments: rca eral Pilots indicated they were recording however many sightings were above the helicopter which was outside of the helicopters FLIR camera angle.""]",0.85,machine_correlated_needs_human_review
109,156,motion:moving,3,3,0,0,"[1, 2, 3]","[""At 2202 hours [CALL SIGN 1] arrived at the aforementioned coordinates and spotted a possible aircraft on the horizon moving away to the west."", ""At 2218 hours fi [CALL SIGN 1] remained at [COORDINATES] awaiting instructions when the pilots (NVG) and [WITNESS 1] (naked eye) spotting a swarm of lights (too many to count) moving in all directions but generally located west of a and headed south."", ""SEGREFHANOFORN At 2249 hours while positioned VO [SITE CODE NAME], [CALL SIGN 1] - [WITNESS 1] (naked eye) and the pilots (NVG) spotted a swarm of lights moving in all directions west of with three distinct orbs in a triangle formation.""]",0.75,machine_correlated_needs_human_review
115,156,motion:stationary,2,1,0,0,[2],"[""From the naked eye perspective, the two orbs appeared to flare up and remain stationary side by side."", ""After a few seconds the orbs began to flare down in reverse order while appearing to be stationary until visual was lost.""]",0.35,weak_machine_group
114,156,shape:light,2,1,0,0,[2],"[""At 2218 hours fi [CALL SIGN 1] remained at [COORDINATES] awaiting instructions when the pilots (NVG) and [WITNESS 1] (naked eye) spotting a swarm of lights (too many to count) moving in all directions but generally located west of a and headed south."", ""They appeared to be oval shaped, orange in color with a white or yellow center and emitting light in all directions.""]",0.35,weak_machine_group
116,156,color_brightness:orange,1,1,0,0,[2],"[""They appeared to be oval shaped, orange in color with a white or yellow center and emitting light in all directions.""]",0.25,weak_machine_group
110,156,color_brightness:super-hot,1,1,0,0,[1],"[""LP/OP confirmed the sighting then relayed they spotted an orb under FLIR and described as “super-hot” hovering at ground level before heading bearing [iifrom LP/OP.""]",0.25,weak_machine_group
111,156,motion:hovering,1,1,0,0,[1],"[""LP/OP confirmed the sighting then relayed they spotted an orb under FLIR and described as “super-hot” hovering at ground level before heading bearing [iifrom LP/OP.""]",0.25,weak_machine_group
112,156,motion:pursuit,1,1,0,0,[2],"[""LP/OP reported the orb gained elevation, came within ten feet of [CALL SIGN 1] and then headed east _ nay [CALL SIGN 1] moved to intercept but LP/OP reported the orb continued southeast and estimated it to be past [ROAD NAME], some 20 miles from the ""]",0.25,weak_machine_group
108,156,sensor:helicopter,1,1,0,0,[1],"[""[CALL SIGN 1] orbited the location while searching with NVGs (pilots) and the naked eye (IWITNESS 1]) with the aid of the helicopter’s spotlight in near full darkness for several minutes with negative results.""]",0.25,weak_machine_group
117,158,shape:light,10,2,0,0,"[1, 2]","[""(lM Othe vehicles drove through a couple of gates and JJ saw a bright light over the horizon."", ""The light was stationary in the air, then started moving to the right and then disappeared."", ""[JJ could see the light through the top right of the vehicle’s windshield."", ""The light was bright white and was visible for ten seconds before it disappeared."", ""The light stayed the same size throughout the incident.""]",1.0,machine_correlated_needs_human_review
118,158,color_brightness:bright,2,1,0,0,[1],"[""(lM Othe vehicles drove through a couple of gates and JJ saw a bright light over the horizon."", ""The light was bright white and was visible for ten seconds before it disappeared.""]",0.35,weak_machine_group
119,158,motion:moving,1,1,0,0,[1],"[""The light was stationary in the air, then started moving to the right and then disappeared.""]",0.25,weak_machine_group
120,158,sensor:video,1,1,0,0,[1],"[""Investigation on 09/2023 at f fF United States (Other (Facetime Video) ) File # | of: | Date drafted 10/2023 by | | | | This document contains neither recommendations nor conclusions of the FBL It is the property of the FBI and is loaned to your agen""]",0.25,weak_machine_group
123,159,shape:object,15,1,2,0,[2],"[""The object was already there when she looked up."", ""The object was almost hovering, slowly moving from east to west."", ""The object was “metallic bronze in color” and was the length of two or three Blackhawk helicopters lined up nose to tail."", ""The object was completely silent."", ""(l/l G)swass initially annoyed when she saw the object because she had restricted the ranges for the tests they were going to conduct that morning but then she realized the object was not an aircraft or drone.""]",1.0,machine_correlated_needs_human_review
121,159,shape:light,4,1,0,0,[2],"[""5-8-10) a elles 1 — September 2023 I BJ uae ee On O9/fM/2023 page 2 of 2 cigar shaped object with an extremely bright light southwest of them approximately 500 to 3000 feet above the nearest tree line (agent note: the tree line was approximately one "", ""The light was an intense diamond white light with what appeared to be a ring around the light and was located on the eastern end of the object."", ""The light was pointing south east and looking at it (the light) was like looking into the sun."", ""The width of the object was approximately the width of one and a half Blackhawks but was hard to determine due the light on the object’s eastern end which may have been obscuring part of the body.""]",0.55,machine_correlated_needs_human_review
122,159,color_brightness:bright,1,1,0,0,[2],"[""5-8-10) a elles 1 — September 2023 I BJ uae ee On O9/fM/2023 page 2 of 2 cigar shaped object with an extremely bright light southwest of them approximately 500 to 3000 feet above the nearest tree line (agent note: the tree line was approximately one ""]",0.25,weak_machine_group
125,159,color_brightness:white,1,1,0,0,[2],"[""The light was an intense diamond white light with what appeared to be a ring around the light and was located on the eastern end of the object.""]",0.25,weak_machine_group
124,159,motion:hovering,1,1,0,0,[2],"[""The object was almost hovering, slowly moving from east to west.""]",0.25,weak_machine_group
126,159,sensor:video,1,1,0,0,[2],"[""(Gl No photos or video of the object were taken by JJ or the contractors.""]",0.25,weak_machine_group
129,160,shape:object,8,2,0,0,"[1, 2]","[""The object was metallic / gray in color."", ""The object was smaller than a 737, one to two Blackhawk helicopters in length and was definitely bigger than a drone."", ""The object was approximately 5000 feet above ground level, and moved east to west parallel to the ground."", ""The sky was clear and MM couldn’t find the object again."", ""He did not see the object as they were coming over the small bridge at the gate until they were going through the gate.""]",1.0,machine_correlated_needs_human_review
127,160,shape:light,4,2,1,0,"[1, 2]","[""At about three quarters of the windshield up, Po saw a linear object with a super bright light on the east side of the object."", ""The light was bright white and bright enough to see bands within the light."", ""The object was visible for five to ten seconds and then the light went out and the object vanished."", ""5-8-10) ( September 2023 QR BY ae Continuation of FD-302 of ,On 09/M/2023 ,Page 2 OF 2 (MBM The object stayed the same size and kept the same light intensity during the time MJ observed it.""]",0.9,machine_correlated_needs_human_review
128,160,color_brightness:bright,2,1,0,0,[1],"[""At about three quarters of the windshield up, Po saw a linear object with a super bright light on the east side of the object."", ""The light was bright white and bright enough to see bands within the light.""]",0.35,weak_machine_group
130,160,sensor:video,1,1,0,0,[1],"[""Investigation on 09/2023 at f fF United States (Other (Facetime Video) ) File # | of: | Date drafted 10/2023 ty MM This document contains neither recommendations nor conclusions of the FBL It is the property of the FBI and is loaned to your agency; i""]",0.25,weak_machine_group
132,161,color_brightness:orange,6,2,0,1,"[1, 2]","[""¢ Time of Day: Dusk (on two separate days) ¢ Three teams of two federal law enforcement special agents each (USPER1 through USPER6) independently describe seeing orange “orbs” in the sky emit/launch smaller red “orbs” in groups of two to four, with t"", ""Each time, the orange orb would appear, launch red orbs, then disappear."", ""The orange orb was only visible for one or two seconds."", ""Due to the sequential nature of the events, it is not known whether there was a single orange “mother” orb that released the groups of red orbs or whether there were multiple orange orbs at play."", ""° Time of Day: Dusk Artist Rendering ¢ Two federal law enforcement special agents (USPER5 and USPER6) witness a glowing orange orb at a distance of “approximately 500-600 meters,’* where it was perched close to a rock pinnacle.""]",1.0,machine_correlated_needs_human_review
138,161,shape:light,6,2,1,0,"[3, 4]","[""; White light ¢ Location: Western U.S."", ""The “car” had two lights (one red and one white) that are about 2 to 3 feet off the ground."", ""The object didn’t change height and appeared to move with “zero resistance.” The object stopped about 100 meters off the side of the road and turned off its lights."", ""The agent stated that they observed the object for “a split second in the NVGs before the light turned off” and that once the lights were off, a “very thin line” remained."", ""The witness noted that when shining the light around, “at one point my beam went from shining far into the Image 2: Recreation of drawing distance to stopping about 50 yards away on nothing in particular, it just was not vonwith the bare eye.""]",1.0,machine_correlated_needs_human_review
